date,year,type,country,state,location,activity,sex,age,injury,time,species
25-Sep-2022,2022.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Central Beach, Plettenberg Bay",Swimming,F,39,Fatal,07h53,White shark
22-Sep-2022,2022.0,Unprovoked,USA,Florida,"Marathon, Monroe County",Fishing,M,26,Injured,,Bu.ll
06-Sep-2022,2022.0,Unprovoked,BAHAMAS,,Green Cay,Snorkeling,F,58,Fatal,14h00,Bull shark
03-Sep-2022,2022.0,Unprovoked,USA,Hawaii,"Lower Paia Beach Park, Maui",Swimming,F,51,Injured,16h10,
31-Aug-2022,2022.0,Unprovoked,AUSTRALIA,New South Wales,Avoca,Surfing,M,14,Injured,07h00,Bronze whaler
17-Aug-2022,2022.0,Unprovoked,AUSTRALIA,New South Wales,Coffs Harbour,Kayaking,M,,No injury,,White shark
15-Aug-2022,2022.0,Unprovoked,USA,South Carolina,Horry County,Swimming,F,,Injured,11h17,
15-Aug-2022,2022.0,Unprovoked,USA,South Carolina,Horry County,Standing,F,,Injured,12h00,Black shark
15-Aug-2022,2022.0,Unprovoked,AUSTRALIA,Westerm Australia,Goode Beach,Fishing,M,17,Injured,,White shark
13-Aug-2022,2022.0,Unprovoked,USA,Florida,"Looe Key, Monroe County",Snorkeling,M,10,Injured,16h00,Bull shark
10-Aug-2022,2022.0,Unprovoked,USA,California,"Lovers Point, Pacific Grove, Monterey County",Paddleboarding,M,,No injury,11h30,
28-Jul-2022,2022.0,Unprovoked,ENGLAND,Cornwall,Penzance,Snorkeling,F,,Injured,12h30,Blue shark
27-Jul-2022,2022.0,Unprovoked,USA,Florida,"Florida Keys, Monroe County",Lobstering,M,13,Injury to upper lip,,Nurse shark
25-Jul-2022,2022.0,Unprovoked,USA,Florida,Volusia County,Wading,M,33,Minor bite to left  foot,15h00,Black shark
20-Jul-2022,2022.0,Unprovoked,USA,New York,"Kismet Beach, Long Island",Surfing,M,16,Injured,17h45,6' shark
